Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
Bird of Paradise;When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.;MOVIE;80;1932;['romance', 'drama'];6;1298;3.164;5
The Lost World;The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.;MOVIE;93;1925;['fantasy', 'thriller', 'scifi'];7;5185;8.026;6.7
49th Parallel;In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.;MOVIE;123;1941;['thriller', 'war', 'drama'];7.3;6716;8.475;7
The Private Life of Henry VIII;Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.;MOVIE;90;1933;['history', 'comedy', 'drama', 'romance'];7;4297;5.268;6.4
The Southerner;Sam Tucker, a cotton picker, in search of a better future for his family, decides to grow his own cotton crop. In the first year, the Tuckers battle disease, a flood, and a jealous neighbor. Can they make it as farmers?;MOVIE;92;1945;['drama'];7.1;3443;3.753;6.3
Hangmen Also Die!;During the Nazi occupation of Czechoslovakia, surgeon Dr. Franticek Svoboda, a Czech patriot, assassinates the brutal "Hangman of Europe", Reichsprotektor Reinhard Heydrich, and is wounded in the process. In his attempt to escape, he is helped by history professor Stephen Novotny and his daughter Mascha.;MOVIE;134;1943;['thriller', 'war', 'drama'];7.4;5442;6.772;7
A Farewell to Arms;A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.;MOVIE;89;1932;['drama', 'romance', 'war'];6.4;5970;7.581;6.3
The Scarlet Letter;In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet "A" on her dress for bearing a child out of wedlock.;MOVIE;69;1934;['drama', 'history', 'romance'];5.3;367;1.666;4
The Hunchback of Notre Dame;In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her.;MOVIE;113;1923;['horror', 'drama', 'romance'];7.2;5387;5.431;6.5
Tabu;The youngsters Matahi and Reri are in love with each other. The old warrior Hitu announces that Reri is to be the new chosen virgin for the gods. This means she must stay untouched, otherwise she and her lover will be killed. But Matahi abducts and escapes with her to an island ruled by the white man, where their gods would be harmless and powerless.;MOVIE;86;1931;['drama', 'romance', 'action'];7.4;5783;7.156;7.3
The Big Lift;The Berlin Air Lift from the point of view of two NCOs.;MOVIE;120;1950;['drama', 'war'];6.5;1550;2.667;6.7
Why We Fight: Prelude to War;Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.;MOVIE;53;1942;['documentation', 'war'];7;2194;3.877;6.6
The Fighting Kentuckian;John Breen (John Wayne), a Kentucky militiaman falls in love with French exile Fleurette De Marchand (Vera Ralston). He discovers a plot to steal the land that Fleurette's exiles plan to settle on and aims to foil it.;MOVIE;100;1949;['western', 'war', 'romance'];6.4;3260;7.146;5.8
Santa Fe Trail;As a penalty for fighting fellow classmates days before graduating from West Point, J.E.B. Stuart, George Armstrong Custer and four friends are assigned to the 2nd Cavalry, stationed at Fort Leavenworth. While there they aid in the capture and execution of the abolitionist, John Brown following the Battle of Harper's Ferry.;MOVIE;110;1940;['western', 'war', 'drama', 'history', 'romance'];6.2;3754;5.925;5.8
Dick Tracy;Detective Tracy (Morgan Conway) rescues Tess Trueheart (Anne Jeffreys) and Junior from a killer called Splitface (Mike Mazurki).;MOVIE;61;1945;['action', 'crime', 'thriller', 'family'];5.9;1380;2.627;5.1
Woman on the Run;Frank Johnson, a sole witness to a gangland murder, goes into hiding and is trailed by Police Inspector Ferris, on the theory that Frank is trying to escape from possible retaliation. Frank's wife, Eleanor, suspects he is actually running away from their unsuccessful marriage. Aided by a newspaperman, Danny Leggett, Eleanor sets out to locate her husband. The killer is also looking for him, and keeps close tabs on Eleanor.;MOVIE;77;1950;['drama', 'crime', 'thriller'];7.2;3901;4.814;6.8
Life with Father;A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.;MOVIE;118;1947;['comedy', 'family'];7.1;5446;4.151;6.4
Nothing Sacred;When a small-town girl is diagnosed with a rare, deadly disease, an ambitious newspaper man turns her into a national heroine.;MOVIE;77;1937;['romance', 'drama', 'fantasy', 'comedy'];6.9;6570;4.764;6.3
Penny Serenade;While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.;MOVIE;119;1941;['romance', 'drama'];7.1;7087;5.767;6.8
He Walked by Night;This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.;MOVIE;79;1949;['thriller', 'crime'];7.1;5943;5.253;6.7
Algiers;Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines;MOVIE;96;1938;['drama', 'romance'];6.7;2803;2.472;6.7
Louisiana Story;The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home.;MOVIE;78;1948;['drama'];6.6;1895;2.775;6.8
Jack London;The adventurous and remarkable life of the US writer Jack London (1876-1916).;MOVIE;94;1943;['drama', 'war', 'romance'];5.1;389;2.022;5.8
Broken Blossoms;The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.;MOVIE;89;1919;['romance', 'drama'];7.3;10230;6.012;6.9
Dr. Jekyll and Mr. Hyde;A doctor's research into the roots of evil turns him into a hideous depraved fiend.;MOVIE;79;1920;['horror', 'scifi', 'drama'];6.9;5367;8.16;7
The Pleasure Garden;Patsy Brand is a chorus girl at the Pleasure Garden music hall. She meets Jill Cheyne who is down on her luck and gets her a job as a dancer. Jill meets adventurer Hugh Fielding and they get engaged, but when Hugh travels out of the country, she begins to play around.;MOVIE;75;1925;['romance', 'drama'];5.8;2504;3.871;5.4
Too Late for Tears;One night on a lonely highway, a speeding car tosses a satchel of money, meant for somebody else, into Jane and Alan Palmer's back seat. Alan wants to turn it over to the police, but Jane persuades him to hang onto it 'for a while'. Soon, the Palmers are traced by one Danny Fuller, a sleazy character who claims the money is his.;MOVIE;99;1949;['crime', 'thriller', 'drama'];7.3;4678;5.145;6.9
Trapped;U.S. Treasury Department agents go after a ring of counterfeiters.;MOVIE;78;1949;['thriller', 'crime', 'drama'];6.4;1352;2.876;5.8
Mother;A  story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike.;MOVIE;89;1926;['drama'];7.5;2785;4.756;7.3
Orphans of the Storm;France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.;MOVIE;150;1921;['drama', 'history', 'romance'];7.3;5133;5.002;7
Let There Be Light;The final entry in a trilogy of films produced for the U.S. government by John Huston. Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment. It deals with what would now be called PTSD, but at the time was categorised as psychoneurosis or shell-shock. Government officials deemed this 1946 film counterproductive to postwar efforts, it was not shown publicly until 1981.;MOVIE;58;1946;['war', 'documentation'];7.4;1850;3.226;7.4
The Red House;An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.;MOVIE;100;1947;['thriller', 'horror', 'drama'];6.8;4016;3.991;6.3
Robin Hood;Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!;MOVIE;133;1922;['romance', 'family'];7.1;2219;2.426;6.3
The Hurricane;In the colonial era, island native Terangi (Jon Hall) spends a blissful honeymoon with his bride, Marama (Dorothy Lamour). Soon after, however, their relationship is torn asunder when Terangi is sent to prison for punching a prejudiced white man. Prominent members of the community -- including the governor's wife, Mme. De Laage (Mary Astor), petition the governor for clemency, but he refuses to budge. However, all pretense of law and order are soon shattered by an incoming tropical storm.;MOVIE;110;1937;['drama', 'romance', 'action'];7.2;2595;2.85;7
Payoff in the Pacific;A documentary on .S. efforts against the Japanese during the Second World War.;MOVIE;56;1945;[];;;0.6;
The Memphis Belle: A Story of a Flying Fortress;This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing raid on sub-pens in Wilhelmshaven, Germany.;MOVIE;45;1944;['war', 'documentation', 'history'];7.3;1646;2.497;6.7
The Cat and the Canary;Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.;MOVIE;108;1927;['comedy', 'thriller', 'horror'];7.1;2981;5.109;7
